序號,工程名稱,主辦單位,契約金額-千元,設計單位,監造單位,承造廠商,專案管理,查核日期,通知方式,評分,廠商扣點數,監造扣點數,PCM扣點數,備註
1,113年度交通號誌設置及纜線改善工程-114年度後續擴充,臺北市交通管制工程處,19168,御軒工程顧問有限公司,御軒工程顧問有限公司,達客利科技有限公司,無,1141007,不預先通知,81,0,0,0,查核
2,113-114年度中崙合署辦公大樓外牆改善工程,臺北市立圖書館,17210,典石聯合建築師事務所,典石聯合建築師事務所,緯豐營造股份有限公司,無,1141013,不預先通知,81,0,0,0,查核
3,磺港溪再造C段護岸及步道整建工程（三合橋至奇岩抽水站）,臺北市政府工務局水利工程處,257600,禾拓規劃設計顧問有限公司,任泰技術顧問有限公司,瑞健營造有限公司,無,1141013,不預先通知,85,0,0,0,複查
4,114年度續約-113年度雨水下水道預約維護工程（南港、內湖區）,臺北市政府工務局水利工程處,16560,威旭工程顧問有限公司,晨星工程技術顧問有限公司,暘固營造有限公司,無,1141016,不預先通知,80,0,0,0,查核
5,國定古蹟臺北府城—北門修復工程,臺北市政府文化局,28061,楊仁江建築師事務所,楊仁江建築師事務所,鋼成營造股份有限公司,無,1141016,不預先通知,82,0,0,0,查核
6,迪化污水處理廠委託操作維護第七期暨設備更新-設備更新,臺北市政府工務局衛生下水道工程處,399954,萬銘工程科技股份有限公司,式新工程顧問股份有限公司,煒盛環科股份有限公司,無,1141020,不預先通知,84,0,0,0,複查
7,CR387A捷運信義線東延段自動收費系統工程採購案,臺北市政府捷運工程局機電系統工程處,45000,神通資訊科技股份有限公司,臺北市政府捷運工程局機電系統工程處,神通資訊科技股份有限公司,無,1141021,不預先通知,83,0,0,0,查核
8,中正橋改建工程及代辦管線附掛工程,臺北市政府工務局新建工程處,2217900,台灣世曦工程顧問股份有限公司,台灣世曦工程顧問股份有限公司,春原營造股份有限公司,無,1141023,不預先通知,85,0,0,0,查核
9,臺北市原住民族文化創生基地整體修繕工程,臺北市政府原住民族事務委員會,456000,楊瑞禎聯合建築師事務所,楊瑞禎聯合建築師事務所,正豪營造有限公司,無,1141027,不預先通知,79,5,5,0,查核
10,114年度臺北市山坡地溪溝改善及設施維護工程,臺北市政府工務局大地工程處,29400,亞柏技術顧問股份有限公司,亞柏技術顧問股份有限公司,富士山營造有限公司,無,1141028,不預先通知,83,0,0,0,查核
